timestamp_ns,key,event_type,participant_id,session_id
3951283875,d,press,p01,p01_single_key_g8_20260309_231753
4059154875,d,release,p01,p01_single_key_g8_20260309_231753
4562753583,d,press,p01,p01_single_key_g8_20260309_231753
4666267791,d,release,p01,p01_single_key_g8_20260309_231753
5161905708,d,press,p01,p01_single_key_g8_20260309_231753
5262958083,d,release,p01,p01_single_key_g8_20260309_231753
5750853583,d,press,p01,p01_single_key_g8_20260309_231753
5855123000,d,release,p01,p01_single_key_g8_20260309_231753
6347094125,d,press,p01,p01_single_key_g8_20260309_231753
6475337208,d,release,p01,p01_single_key_g8_20260309_231753
6980776541,d,press,p01,p01_single_key_g8_20260309_231753
7113163416,d,release,p01,p01_single_key_g8_20260309_231753
7579931583,d,press,p01,p01_single_key_g8_20260309_231753
7688129125,d,release,p01,p01_single_key_g8_20260309_231753
8118747666,d,press,p01,p01_single_key_g8_20260309_231753
8223010375,d,release,p01,p01_single_key_g8_20260309_231753
8671901208,d,press,p01,p01_single_key_g8_20260309_231753
8776024083,d,release,p01,p01_single_key_g8_20260309_231753
9205950166,d,press,p01,p01_single_key_g8_20260309_231753
9326246791,d,release,p01,p01_single_key_g8_20260309_231753
9794852583,d,press,p01,p01_single_key_g8_20260309_231753
9915379791,d,release,p01,p01_single_key_g8_20260309_231753
10385846708,d,press,p01,p01_single_key_g8_20260309_231753
10486273250,d,release,p01,p01_single_key_g8_20260309_231753
10962908833,d,press,p01,p01_single_key_g8_20260309_231753
11047291500,d,release,p01,p01_single_key_g8_20260309_231753
11492892083,d,press,p01,p01_single_key_g8_20260309_231753
11621106708,d,release,p01,p01_single_key_g8_20260309_231753
12082000916,d,press,p01,p01_single_key_g8_20260309_231753
12178135958,d,release,p01,p01_single_key_g8_20260309_231753
12686658083,d,press,p01,p01_single_key_g8_20260309_231753
12774898125,d,release,p01,p01_single_key_g8_20260309_231753
13265878708,d,press,p01,p01_single_key_g8_20260309_231753
13357962833,d,release,p01,p01_single_key_g8_20260309_231753
13867636458,d,press,p01,p01_single_key_g8_20260309_231753
13960002000,d,release,p01,p01_single_key_g8_20260309_231753
14436761875,d,press,p01,p01_single_key_g8_20260309_231753
14525167291,d,release,p01,p01_single_key_g8_20260309_231753
14993538916,d,press,p01,p01_single_key_g8_20260309_231753
15081978208,d,release,p01,p01_single_key_g8_20260309_231753
15550923041,d,press,p01,p01_single_key_g8_20260309_231753
15658945041,d,release,p01,p01_single_key_g8_20260309_231753
16118781916,d,press,p01,p01_single_key_g8_20260309_231753
16215285833,d,release,p01,p01_single_key_g8_20260309_231753
16629583833,d,press,p01,p01_single_key_g8_20260309_231753
16742027833,d,release,p01,p01_single_key_g8_20260309_231753
17185590208,d,press,p01,p01_single_key_g8_20260309_231753
17285982625,d,release,p01,p01_single_key_g8_20260309_231753
17756759750,d,press,p01,p01_single_key_g8_20260309_231753
17849007666,d,release,p01,p01_single_key_g8_20260309_231753
18306809875,d,press,p01,p01_single_key_g8_20260309_231753
18411895291,d,release,p01,p01_single_key_g8_20260309_231753
18826528833,d,press,p01,p01_single_key_g8_20260309_231753
18966834833,d,release,p01,p01_single_key_g8_20260309_231753
19375729000,d,press,p01,p01_single_key_g8_20260309_231753
19479854250,d,release,p01,p01_single_key_g8_20260309_231753
19875527375,d,press,p01,p01_single_key_g8_20260309_231753
19991898125,d,release,p01,p01_single_key_g8_20260309_231753
20408469166,d,press,p01,p01_single_key_g8_20260309_231753
20504655625,d,release,p01,p01_single_key_g8_20260309_231753
20930787708,d,press,p01,p01_single_key_g8_20260309_231753
21042927041,d,release,p01,p01_single_key_g8_20260309_231753
21471499000,d,press,p01,p01_single_key_g8_20260309_231753
21575814583,d,release,p01,p01_single_key_g8_20260309_231753
21999442500,d,press,p01,p01_single_key_g8_20260309_231753
22115659875,d,release,p01,p01_single_key_g8_20260309_231753
22565378416,d,press,p01,p01_single_key_g8_20260309_231753
22665888416,d,release,p01,p01_single_key_g8_20260309_231753
23111552666,d,press,p01,p01_single_key_g8_20260309_231753
23211621208,d,release,p01,p01_single_key_g8_20260309_231753
23648493416,d,press,p01,p01_single_key_g8_20260309_231753
23740689375,d,release,p01,p01_single_key_g8_20260309_231753
24178512333,d,press,p01,p01_single_key_g8_20260309_231753
24274781291,d,release,p01,p01_single_key_g8_20260309_231753
24704671125,d,press,p01,p01_single_key_g8_20260309_231753
24816515833,d,release,p01,p01_single_key_g8_20260309_231753
25200500041,d,press,p01,p01_single_key_g8_20260309_231753
25328719458,d,release,p01,p01_single_key_g8_20260309_231753
25724432000,d,press,p01,p01_single_key_g8_20260309_231753
25862790416,d,release,p01,p01_single_key_g8_20260309_231753
26248550458,d,press,p01,p01_single_key_g8_20260309_231753
26376678875,d,release,p01,p01_single_key_g8_20260309_231753
26777952333,d,press,p01,p01_single_key_g8_20260309_231753
26878105583,d,release,p01,p01_single_key_g8_20260309_231753
27286417041,d,press,p01,p01_single_key_g8_20260309_231753
27386545375,d,release,p01,p01_single_key_g8_20260309_231753
27837342750,d,press,p01,p01_single_key_g8_20260309_231753
27937738416,d,release,p01,p01_single_key_g8_20260309_231753
28398752375,d,press,p01,p01_single_key_g8_20260309_231753
28528174041,d,release,p01,p01_single_key_g8_20260309_231753
28964381958,d,press,p01,p01_single_key_g8_20260309_231753
29076498166,d,release,p01,p01_single_key_g8_20260309_231753
29516251375,d,press,p01,p01_single_key_g8_20260309_231753
29652741333,d,release,p01,p01_single_key_g8_20260309_231753
30092248416,d,press,p01,p01_single_key_g8_20260309_231753
30204516291,d,release,p01,p01_single_key_g8_20260309_231753
30634446625,d,press,p01,p01_single_key_g8_20260309_231753
30730940625,d,release,p01,p01_single_key_g8_20260309_231753
31079148083,d,press,p01,p01_single_key_g8_20260309_231753
31173678750,d,release,p01,p01_single_key_g8_20260309_231753
34129364916,f,press,p01,p01_single_key_g8_20260309_231753
34205438000,f,release,p01,p01_single_key_g8_20260309_231753
34737055625,f,press,p01,p01_single_key_g8_20260309_231753
34849404208,f,release,p01,p01_single_key_g8_20260309_231753
35257087541,f,press,p01,p01_single_key_g8_20260309_231753
35365439583,f,release,p01,p01_single_key_g8_20260309_231753
35811443583,f,press,p01,p01_single_key_g8_20260309_231753
35911313083,f,release,p01,p01_single_key_g8_20260309_231753
36331214666,f,press,p01,p01_single_key_g8_20260309_231753
36443443750,f,release,p01,p01_single_key_g8_20260309_231753
36915527375,f,press,p01,p01_single_key_g8_20260309_231753
37035475166,f,release,p01,p01_single_key_g8_20260309_231753
37460426791,f,press,p01,p01_single_key_g8_20260309_231753
37588397833,f,release,p01,p01_single_key_g8_20260309_231753
38033250458,f,press,p01,p01_single_key_g8_20260309_231753
38161405041,f,release,p01,p01_single_key_g8_20260309_231753
38613399916,f,press,p01,p01_single_key_g8_20260309_231753
38762675958,f,release,p01,p01_single_key_g8_20260309_231753
39160140708,f,press,p01,p01_single_key_g8_20260309_231753
39292256958,f,release,p01,p01_single_key_g8_20260309_231753
39684254375,f,press,p01,p01_single_key_g8_20260309_231753
39788497083,f,release,p01,p01_single_key_g8_20260309_231753
40242245583,f,press,p01,p01_single_key_g8_20260309_231753
40354435583,f,release,p01,p01_single_key_g8_20260309_231753
40810197916,f,press,p01,p01_single_key_g8_20260309_231753
40918386166,f,release,p01,p01_single_key_g8_20260309_231753
41496299791,f,press,p01,p01_single_key_g8_20260309_231753
41615556583,f,release,p01,p01_single_key_g8_20260309_231753
42040994833,f,press,p01,p01_single_key_g8_20260309_231753
42177901333,f,release,p01,p01_single_key_g8_20260309_231753
42559037666,f,press,p01,p01_single_key_g8_20260309_231753
42679454250,f,release,p01,p01_single_key_g8_20260309_231753
43096003291,f,press,p01,p01_single_key_g8_20260309_231753
43208346875,f,release,p01,p01_single_key_g8_20260309_231753
43656114208,f,press,p01,p01_single_key_g8_20260309_231753
43748377958,f,release,p01,p01_single_key_g8_20260309_231753
44215955625,f,press,p01,p01_single_key_g8_20260309_231753
44336190916,f,release,p01,p01_single_key_g8_20260309_231753
44752887875,f,press,p01,p01_single_key_g8_20260309_231753
44865238291,f,release,p01,p01_single_key_g8_20260309_231753
45248289833,f,press,p01,p01_single_key_g8_20260309_231753
45372379375,f,release,p01,p01_single_key_g8_20260309_231753
45841087708,f,press,p01,p01_single_key_g8_20260309_231753
45953162791,f,release,p01,p01_single_key_g8_20260309_231753
46367929500,f,press,p01,p01_single_key_g8_20260309_231753
46452113208,f,release,p01,p01_single_key_g8_20260309_231753
46864051666,f,press,p01,p01_single_key_g8_20260309_231753
46972064208,f,release,p01,p01_single_key_g8_20260309_231753
47384898250,f,press,p01,p01_single_key_g8_20260309_231753
47501575125,f,release,p01,p01_single_key_g8_20260309_231753
47911364291,f,press,p01,p01_single_key_g8_20260309_231753
48011284708,f,release,p01,p01_single_key_g8_20260309_231753
48446903333,f,press,p01,p01_single_key_g8_20260309_231753
48535132083,f,release,p01,p01_single_key_g8_20260309_231753
48982767833,f,press,p01,p01_single_key_g8_20260309_231753
49099015000,f,release,p01,p01_single_key_g8_20260309_231753
49540878291,f,press,p01,p01_single_key_g8_20260309_231753
49633004583,f,release,p01,p01_single_key_g8_20260309_231753
50079306750,f,press,p01,p01_single_key_g8_20260309_231753
50194776416,f,release,p01,p01_single_key_g8_20260309_231753
50579391791,f,press,p01,p01_single_key_g8_20260309_231753
50663192000,f,release,p01,p01_single_key_g8_20260309_231753
51087775041,f,press,p01,p01_single_key_g8_20260309_231753
51176148583,f,release,p01,p01_single_key_g8_20260309_231753
51640917958,f,press,p01,p01_single_key_g8_20260309_231753
51746069083,f,release,p01,p01_single_key_g8_20260309_231753
52170745708,f,press,p01,p01_single_key_g8_20260309_231753
52259054958,f,release,p01,p01_single_key_g8_20260309_231753
52656698250,f,press,p01,p01_single_key_g8_20260309_231753
52761208291,f,release,p01,p01_single_key_g8_20260309_231753
53171759375,f,press,p01,p01_single_key_g8_20260309_231753
53264109083,f,release,p01,p01_single_key_g8_20260309_231753
53695764125,f,press,p01,p01_single_key_g8_20260309_231753
53792027125,f,release,p01,p01_single_key_g8_20260309_231753
54183715750,f,press,p01,p01_single_key_g8_20260309_231753
54280020666,f,release,p01,p01_single_key_g8_20260309_231753
54679757416,f,press,p01,p01_single_key_g8_20260309_231753
54800112958,f,release,p01,p01_single_key_g8_20260309_231753
55148722083,f,press,p01,p01_single_key_g8_20260309_231753
55272896541,f,release,p01,p01_single_key_g8_20260309_231753
55636640708,f,press,p01,p01_single_key_g8_20260309_231753
55736905291,f,release,p01,p01_single_key_g8_20260309_231753
56121657166,f,press,p01,p01_single_key_g8_20260309_231753
56234244708,f,release,p01,p01_single_key_g8_20260309_231753
56635677000,f,press,p01,p01_single_key_g8_20260309_231753
56748387375,f,release,p01,p01_single_key_g8_20260309_231753
57232055833,f,press,p01,p01_single_key_g8_20260309_231753
57336069500,f,release,p01,p01_single_key_g8_20260309_231753
57718675083,f,press,p01,p01_single_key_g8_20260309_231753
57798837208,f,release,p01,p01_single_key_g8_20260309_231753
58231878083,f,press,p01,p01_single_key_g8_20260309_231753
58315945500,f,release,p01,p01_single_key_g8_20260309_231753
58717680833,f,press,p01,p01_single_key_g8_20260309_231753
58801857875,f,release,p01,p01_single_key_g8_20260309_231753
59192696666,f,press,p01,p01_single_key_g8_20260309_231753
59264951791,f,release,p01,p01_single_key_g8_20260309_231753
59634770708,f,press,p01,p01_single_key_g8_20260309_231753
59726943291,f,release,p01,p01_single_key_g8_20260309_231753
60020788333,f,press,p01,p01_single_key_g8_20260309_231753
60104872208,f,release,p01,p01_single_key_g8_20260309_231753
63244710833,h,press,p01,p01_single_key_g8_20260309_231753
63316773375,h,release,p01,p01_single_key_g8_20260309_231753
63790550291,h,press,p01,p01_single_key_g8_20260309_231753
63870704833,h,release,p01,p01_single_key_g8_20260309_231753
64337465083,h,press,p01,p01_single_key_g8_20260309_231753
64409814291,h,release,p01,p01_single_key_g8_20260309_231753
64862476625,h,press,p01,p01_single_key_g8_20260309_231753
64954684708,h,release,p01,p01_single_key_g8_20260309_231753
65357444375,h,press,p01,p01_single_key_g8_20260309_231753
65445753583,h,release,p01,p01_single_key_g8_20260309_231753
65899588875,h,press,p01,p01_single_key_g8_20260309_231753
65995833458,h,release,p01,p01_single_key_g8_20260309_231753
66443554625,h,press,p01,p01_single_key_g8_20260309_231753
66539734041,h,release,p01,p01_single_key_g8_20260309_231753
66996069541,h,press,p01,p01_single_key_g8_20260309_231753
67095797000,h,release,p01,p01_single_key_g8_20260309_231753
67502750750,h,press,p01,p01_single_key_g8_20260309_231753
67607120208,h,release,p01,p01_single_key_g8_20260309_231753
68079561375,h,press,p01,p01_single_key_g8_20260309_231753
68175791666,h,release,p01,p01_single_key_g8_20260309_231753
68606452750,h,press,p01,p01_single_key_g8_20260309_231753
68702876833,h,release,p01,p01_single_key_g8_20260309_231753
69145350291,h,press,p01,p01_single_key_g8_20260309_231753
69241724958,h,release,p01,p01_single_key_g8_20260309_231753
69701365833,h,press,p01,p01_single_key_g8_20260309_231753
69797638333,h,release,p01,p01_single_key_g8_20260309_231753
70189305000,h,press,p01,p01_single_key_g8_20260309_231753
70295992875,h,release,p01,p01_single_key_g8_20260309_231753
70705645750,h,press,p01,p01_single_key_g8_20260309_231753
70801651958,h,release,p01,p01_single_key_g8_20260309_231753
71276348083,h,press,p01,p01_single_key_g8_20260309_231753
71381017958,h,release,p01,p01_single_key_g8_20260309_231753
71794512208,h,press,p01,p01_single_key_g8_20260309_231753
71878589333,h,release,p01,p01_single_key_g8_20260309_231753
72351351750,h,press,p01,p01_single_key_g8_20260309_231753
