timestamp_ns,key,event_type,participant_id,session_id
8724758666,enter,release,p01,p01_free_type_part1_20260310_220016
11963640750,t,press,p01,p01_free_type_part1_20260310_220016
11982911166,t,release,p01,p01_free_type_part1_20260310_220016
12317895916,h,press,p01,p01_free_type_part1_20260310_220016
12393791083,h,release,p01,p01_free_type_part1_20260310_220016
12495931041,e,press,p01,p01_free_type_part1_20260310_220016
12560157125,e,release,p01,p01_free_type_part1_20260310_220016
12702011250,space,press,p01,p01_free_type_part1_20260310_220016
12762531541,space,release,p01,p01_free_type_part1_20260310_220016
13206904208,q,press,p01,p01_free_type_part1_20260310_220016
13279592125,q,release,p01,p01_free_type_part1_20260310_220016
13399942458,u,press,p01,p01_free_type_part1_20260310_220016
13452332333,u,release,p01,p01_free_type_part1_20260310_220016
13710555500,i,press,p01,p01_free_type_part1_20260310_220016
13771482125,i,release,p01,p01_free_type_part1_20260310_220016
13944369166,c,press,p01,p01_free_type_part1_20260310_220016
14013396916,c,release,p01,p01_free_type_part1_20260310_220016
14166012916,k,press,p01,p01_free_type_part1_20260310_220016
14226317041,k,release,p01,p01_free_type_part1_20260310_220016
14420177041,space,press,p01,p01_free_type_part1_20260310_220016
14496173666,space,release,p01,p01_free_type_part1_20260310_220016
14846830875,b,press,p01,p01_free_type_part1_20260310_220016
14895085791,b,release,p01,p01_free_type_part1_20260310_220016
15181450458,r,press,p01,p01_free_type_part1_20260310_220016
15253976083,r,release,p01,p01_free_type_part1_20260310_220016
15374805041,o,press,p01,p01_free_type_part1_20260310_220016
15423795958,o,release,p01,p01_free_type_part1_20260310_220016
15572950041,w,press,p01,p01_free_type_part1_20260310_220016
15629384458,w,release,p01,p01_free_type_part1_20260310_220016
16151109416,n,press,p01,p01_free_type_part1_20260310_220016
16207369666,n,release,p01,p01_free_type_part1_20260310_220016
16467735208,space,press,p01,p01_free_type_part1_20260310_220016
16548308083,space,release,p01,p01_free_type_part1_20260310_220016
17088854541,f,press,p01,p01_free_type_part1_20260310_220016
17180905666,f,release,p01,p01_free_type_part1_20260310_220016
17187901750,o,press,p01,p01_free_type_part1_20260310_220016
17237129291,o,release,p01,p01_free_type_part1_20260310_220016
17458851041,x,press,p01,p01_free_type_part1_20260310_220016
17551187083,x,release,p01,p01_free_type_part1_20260310_220016
17616774083,space,press,p01,p01_free_type_part1_20260310_220016
17697091750,space,release,p01,p01_free_type_part1_20260310_220016
17949242375,j,press,p01,p01_free_type_part1_20260310_220016
18017047000,j,release,p01,p01_free_type_part1_20260310_220016
18155948500,u,press,p01,p01_free_type_part1_20260310_220016
18200186708,u,release,p01,p01_free_type_part1_20260310_220016
18991842333,m,press,p01,p01_free_type_part1_20260310_220016
19051520625,m,release,p01,p01_free_type_part1_20260310_220016
19323831875,p,press,p01,p01_free_type_part1_20260310_220016
19384211416,p,release,p01,p01_free_type_part1_20260310_220016
19548795208,s,press,p01,p01_free_type_part1_20260310_220016
19617029458,s,release,p01,p01_free_type_part1_20260310_220016
20036142000,space,press,p01,p01_free_type_part1_20260310_220016
20119477625,space,release,p01,p01_free_type_part1_20260310_220016
20723700666,o,press,p01,p01_free_type_part1_20260310_220016
20768104708,o,release,p01,p01_free_type_part1_20260310_220016
21041723708,v,press,p01,p01_free_type_part1_20260310_220016
21078095833,v,release,p01,p01_free_type_part1_20260310_220016
21202734750,e,press,p01,p01_free_type_part1_20260310_220016
21291068166,e,release,p01,p01_free_type_part1_20260310_220016
21459535708,r,press,p01,p01_free_type_part1_20260310_220016
21512086291,r,release,p01,p01_free_type_part1_20260310_220016
