timestamp_ns,key,event_type,participant_id,session_id
18994557916,enter,release,p01,p01_free_type_part1_20260312_210721
21262465500,t,press,p01,p01_free_type_part1_20260312_210721
21315658333,t,release,p01,p01_free_type_part1_20260312_210721
21981813083,h,press,p01,p01_free_type_part1_20260312_210721
22049529875,h,release,p01,p01_free_type_part1_20260312_210721
22511200416,e,press,p01,p01_free_type_part1_20260312_210721
22587575625,e,release,p01,p01_free_type_part1_20260312_210721
22968144166,space,press,p01,p01_free_type_part1_20260312_210721
23040710791,space,release,p01,p01_free_type_part1_20260312_210721
23623448291,q,press,p01,p01_free_type_part1_20260312_210721
23695603583,q,release,p01,p01_free_type_part1_20260312_210721
24191209583,u,press,p01,p01_free_type_part1_20260312_210721
24259732125,u,release,p01,p01_free_type_part1_20260312_210721
24751668000,i,press,p01,p01_free_type_part1_20260312_210721
24804036666,i,release,p01,p01_free_type_part1_20260312_210721
25317206208,c,press,p01,p01_free_type_part1_20260312_210721
25397424041,c,release,p01,p01_free_type_part1_20260312_210721
25886210791,k,press,p01,p01_free_type_part1_20260312_210721
25942433916,k,release,p01,p01_free_type_part1_20260312_210721
26358349666,space,press,p01,p01_free_type_part1_20260312_210721
26426476250,space,release,p01,p01_free_type_part1_20260312_210721
26949241875,b,press,p01,p01_free_type_part1_20260312_210721
27001920708,b,release,p01,p01_free_type_part1_20260312_210721
27821275750,r,press,p01,p01_free_type_part1_20260312_210721
27889456208,r,release,p01,p01_free_type_part1_20260312_210721
28347331291,o,press,p01,p01_free_type_part1_20260312_210721
28403397458,o,release,p01,p01_free_type_part1_20260312_210721
28933060000,w,press,p01,p01_free_type_part1_20260312_210721
28989522458,w,release,p01,p01_free_type_part1_20260312_210721
29465054208,n,press,p01,p01_free_type_part1_20260312_210721
29513731958,n,release,p01,p01_free_type_part1_20260312_210721
29977913791,space,press,p01,p01_free_type_part1_20260312_210721
30018636875,space,release,p01,p01_free_type_part1_20260312_210721
30641015083,f,press,p01,p01_free_type_part1_20260312_210721
30709594041,f,release,p01,p01_free_type_part1_20260312_210721
31301088666,o,press,p01,p01_free_type_part1_20260312_210721
31345580625,o,release,p01,p01_free_type_part1_20260312_210721
31796080708,x,press,p01,p01_free_type_part1_20260312_210721
31864252625,x,release,p01,p01_free_type_part1_20260312_210721
32345968250,space,press,p01,p01_free_type_part1_20260312_210721
32418322125,space,release,p01,p01_free_type_part1_20260312_210721
32898503208,j,press,p01,p01_free_type_part1_20260312_210721
32946894500,j,release,p01,p01_free_type_part1_20260312_210721
33435169750,u,press,p01,p01_free_type_part1_20260312_210721
33487342541,u,release,p01,p01_free_type_part1_20260312_210721
33994997250,m,press,p01,p01_free_type_part1_20260312_210721
34055298000,m,release,p01,p01_free_type_part1_20260312_210721
34503936791,p,press,p01,p01_free_type_part1_20260312_210721
34556274458,p,release,p01,p01_free_type_part1_20260312_210721
35036168958,s,press,p01,p01_free_type_part1_20260312_210721
35084337500,s,release,p01,p01_free_type_part1_20260312_210721
35541929916,space,press,p01,p01_free_type_part1_20260312_210721
35610566041,space,release,p01,p01_free_type_part1_20260312_210721
36052139166,o,press,p01,p01_free_type_part1_20260312_210721
36104467458,o,release,p01,p01_free_type_part1_20260312_210721
36637912291,v,press,p01,p01_free_type_part1_20260312_210721
36690313458,v,release,p01,p01_free_type_part1_20260312_210721
37095421041,e,press,p01,p01_free_type_part1_20260312_210721
37179152250,e,release,p01,p01_free_type_part1_20260312_210721
37616883125,r,press,p01,p01_free_type_part1_20260312_210721
37701267333,r,release,p01,p01_free_type_part1_20260312_210721
38042470416,space,press,p01,p01_free_type_part1_20260312_210721
38090080541,space,release,p01,p01_free_type_part1_20260312_210721
38710344250,t,press,p01,p01_free_type_part1_20260312_210721
