timestamp_ns,key,event_type,participant_id,session_id
12233135291,g,press,p01,p01_single_key_g2_20260312_003047
12351267333,g,release,p01,p01_single_key_g2_20260312_003047
12804620291,g,press,p01,p01_single_key_g2_20260312_003047
12900834833,g,release,p01,p01_single_key_g2_20260312_003047
13353674208,g,press,p01,p01_single_key_g2_20260312_003047
13450901541,g,release,p01,p01_single_key_g2_20260312_003047
13948745416,g,press,p01,p01_single_key_g2_20260312_003047
14040967625,g,release,p01,p01_single_key_g2_20260312_003047
14528786916,g,press,p01,p01_single_key_g2_20260312_003047
14617025666,g,release,p01,p01_single_key_g2_20260312_003047
15165750833,g,press,p01,p01_single_key_g2_20260312_003047
15273987125,g,release,p01,p01_single_key_g2_20260312_003047
15772767916,g,press,p01,p01_single_key_g2_20260312_003047
15881443875,g,release,p01,p01_single_key_g2_20260312_003047
16396382125,g,press,p01,p01_single_key_g2_20260312_003047
16509201083,g,release,p01,p01_single_key_g2_20260312_003047
17011703958,g,press,p01,p01_single_key_g2_20260312_003047
17127748500,g,release,p01,p01_single_key_g2_20260312_003047
17617684833,g,press,p01,p01_single_key_g2_20260312_003047
17725948291,g,release,p01,p01_single_key_g2_20260312_003047
18276947125,g,press,p01,p01_single_key_g2_20260312_003047
18396696875,g,release,p01,p01_single_key_g2_20260312_003047
18875997666,g,press,p01,p01_single_key_g2_20260312_003047
18980138458,g,release,p01,p01_single_key_g2_20260312_003047
19454685833,g,press,p01,p01_single_key_g2_20260312_003047
19562855708,g,release,p01,p01_single_key_g2_20260312_003047
20018142291,g,press,p01,p01_single_key_g2_20260312_003047
20143237375,g,release,p01,p01_single_key_g2_20260312_003047
20568827125,g,press,p01,p01_single_key_g2_20260312_003047
20700804958,g,release,p01,p01_single_key_g2_20260312_003047
21204821250,g,press,p01,p01_single_key_g2_20260312_003047
21301192750,g,release,p01,p01_single_key_g2_20260312_003047
21824795250,g,press,p01,p01_single_key_g2_20260312_003047
21925071458,g,release,p01,p01_single_key_g2_20260312_003047
22463688250,g,press,p01,p01_single_key_g2_20260312_003047
22579924250,g,release,p01,p01_single_key_g2_20260312_003047
23095226208,g,press,p01,p01_single_key_g2_20260312_003047
23202760708,g,release,p01,p01_single_key_g2_20260312_003047
23711995500,g,press,p01,p01_single_key_g2_20260312_003047
23834612291,g,release,p01,p01_single_key_g2_20260312_003047
24342726583,g,press,p01,p01_single_key_g2_20260312_003047
24450773041,g,release,p01,p01_single_key_g2_20260312_003047
24967968958,g,press,p01,p01_single_key_g2_20260312_003047
25088640458,g,release,p01,p01_single_key_g2_20260312_003047
25594095250,g,press,p01,p01_single_key_g2_20260312_003047
25710051750,g,release,p01,p01_single_key_g2_20260312_003047
26221731958,g,press,p01,p01_single_key_g2_20260312_003047
26335086875,g,release,p01,p01_single_key_g2_20260312_003047
26836592250,g,press,p01,p01_single_key_g2_20260312_003047
26941009000,g,release,p01,p01_single_key_g2_20260312_003047
27482811166,g,press,p01,p01_single_key_g2_20260312_003047
27587048708,g,release,p01,p01_single_key_g2_20260312_003047
28089594458,g,press,p01,p01_single_key_g2_20260312_003047
28189915916,g,release,p01,p01_single_key_g2_20260312_003047
28641553083,g,press,p01,p01_single_key_g2_20260312_003047
28737541458,g,release,p01,p01_single_key_g2_20260312_003047
29332484416,g,press,p01,p01_single_key_g2_20260312_003047
29416940375,g,release,p01,p01_single_key_g2_20260312_003047
29936703208,g,press,p01,p01_single_key_g2_20260312_003047
30040876375,g,release,p01,p01_single_key_g2_20260312_003047
30576470750,g,press,p01,p01_single_key_g2_20260312_003047
30656401125,g,release,p01,p01_single_key_g2_20260312_003047
31213650083,g,press,p01,p01_single_key_g2_20260312_003047
31297520583,g,release,p01,p01_single_key_g2_20260312_003047
31854627166,g,press,p01,p01_single_key_g2_20260312_003047
31953936208,g,release,p01,p01_single_key_g2_20260312_003047
32558594125,g,press,p01,p01_single_key_g2_20260312_003047
32654283500,g,release,p01,p01_single_key_g2_20260312_003047
33134461708,g,press,p01,p01_single_key_g2_20260312_003047
33250622083,g,release,p01,p01_single_key_g2_20260312_003047
33759283041,g,press,p01,p01_single_key_g2_20260312_003047
33863728041,g,release,p01,p01_single_key_g2_20260312_003047
34379436833,g,press,p01,p01_single_key_g2_20260312_003047
34475722375,g,release,p01,p01_single_key_g2_20260312_003047
34999638208,g,press,p01,p01_single_key_g2_20260312_003047
35102048166,g,release,p01,p01_single_key_g2_20260312_003047
35557372708,g,press,p01,p01_single_key_g2_20260312_003047
35665678083,g,release,p01,p01_single_key_g2_20260312_003047
36112373625,g,press,p01,p01_single_key_g2_20260312_003047
36224793000,g,release,p01,p01_single_key_g2_20260312_003047
36839565041,g,press,p01,p01_single_key_g2_20260312_003047
36940132500,g,release,p01,p01_single_key_g2_20260312_003047
37523022125,g,press,p01,p01_single_key_g2_20260312_003047
37615698208,g,release,p01,p01_single_key_g2_20260312_003047
38188375375,g,press,p01,p01_single_key_g2_20260312_003047
38280688041,g,release,p01,p01_single_key_g2_20260312_003047
38870315208,g,press,p01,p01_single_key_g2_20260312_003047
38962426958,g,release,p01,p01_single_key_g2_20260312_003047
39536260875,g,press,p01,p01_single_key_g2_20260312_003047
39628488166,g,release,p01,p01_single_key_g2_20260312_003047
40192118750,g,press,p01,p01_single_key_g2_20260312_003047
40292685916,g,release,p01,p01_single_key_g2_20260312_003047
40807343875,g,press,p01,p01_single_key_g2_20260312_003047
40927530875,g,release,p01,p01_single_key_g2_20260312_003047
41511417250,g,press,p01,p01_single_key_g2_20260312_003047
41619443541,g,release,p01,p01_single_key_g2_20260312_003047
42167406250,g,press,p01,p01_single_key_g2_20260312_003047
42287544708,g,release,p01,p01_single_key_g2_20260312_003047
42844230208,g,press,p01,p01_single_key_g2_20260312_003047
42944088541,g,release,p01,p01_single_key_g2_20260312_003047
43460802333,g,press,p01,p01_single_key_g2_20260312_003047
43569482333,g,release,p01,p01_single_key_g2_20260312_003047
44125397375,g,press,p01,p01_single_key_g2_20260312_003047
44217774750,g,release,p01,p01_single_key_g2_20260312_003047
44812094916,g,press,p01,p01_single_key_g2_20260312_003047
44900180708,g,release,p01,p01_single_key_g2_20260312_003047
45456505333,g,press,p01,p01_single_key_g2_20260312_003047
45560539458,g,release,p01,p01_single_key_g2_20260312_003047
46105386750,g,press,p01,p01_single_key_g2_20260312_003047
46213853666,g,release,p01,p01_single_key_g2_20260312_003047
46732137833,g,press,p01,p01_single_key_g2_20260312_003047
46848457041,g,release,p01,p01_single_key_g2_20260312_003047
47341780083,g,press,p01,p01_single_key_g2_20260312_003047
47449373250,g,release,p01,p01_single_key_g2_20260312_003047
47971289625,g,press,p01,p01_single_key_g2_20260312_003047
48079681541,g,release,p01,p01_single_key_g2_20260312_003047
48625461208,g,press,p01,p01_single_key_g2_20260312_003047
48721816708,g,release,p01,p01_single_key_g2_20260312_003047
49297254000,g,press,p01,p01_single_key_g2_20260312_003047
49421409333,g,release,p01,p01_single_key_g2_20260312_003047
49949253791,g,press,p01,p01_single_key_g2_20260312_003047
50073803083,g,release,p01,p01_single_key_g2_20260312_003047
50580109375,g,press,p01,p01_single_key_g2_20260312_003047
50712527333,g,release,p01,p01_single_key_g2_20260312_003047
51315965625,g,press,p01,p01_single_key_g2_20260312_003047
51444606875,g,release,p01,p01_single_key_g2_20260312_003047
51968743916,g,press,p01,p01_single_key_g2_20260312_003047
52089161625,g,release,p01,p01_single_key_g2_20260312_003047
52638333041,g,press,p01,p01_single_key_g2_20260312_003047
52742476083,g,release,p01,p01_single_key_g2_20260312_003047
53393140083,g,press,p01,p01_single_key_g2_20260312_003047
53501883666,g,release,p01,p01_single_key_g2_20260312_003047
54084225208,g,press,p01,p01_single_key_g2_20260312_003047
54204663250,g,release,p01,p01_single_key_g2_20260312_003047
54788416708,g,press,p01,p01_single_key_g2_20260312_003047
54897123000,g,release,p01,p01_single_key_g2_20260312_003047
55435974666,g,press,p01,p01_single_key_g2_20260312_003047
55552054916,g,release,p01,p01_single_key_g2_20260312_003047
56068052125,g,press,p01,p01_single_key_g2_20260312_003047
56164380625,g,release,p01,p01_single_key_g2_20260312_003047
56698495875,g,press,p01,p01_single_key_g2_20260312_003047
56814483250,g,release,p01,p01_single_key_g2_20260312_003047
57370230250,g,press,p01,p01_single_key_g2_20260312_003047
57478023000,g,release,p01,p01_single_key_g2_20260312_003047
58041012291,g,press,p01,p01_single_key_g2_20260312_003047
58154034708,g,release,p01,p01_single_key_g2_20260312_003047
58741020458,g,press,p01,p01_single_key_g2_20260312_003047
58857222250,g,release,p01,p01_single_key_g2_20260312_003047
59398604625,g,press,p01,p01_single_key_g2_20260312_003047
59509852041,g,release,p01,p01_single_key_g2_20260312_003047
60015852875,g,press,p01,p01_single_key_g2_20260312_003047
60128371750,g,release,p01,p01_single_key_g2_20260312_003047
60598845166,g,press,p01,p01_single_key_g2_20260312_003047
60699245708,g,release,p01,p01_single_key_g2_20260312_003047
61209636083,g,press,p01,p01_single_key_g2_20260312_003047
61330352291,g,release,p01,p01_single_key_g2_20260312_003047
61866943000,g,press,p01,p01_single_key_g2_20260312_003047
61963523458,g,release,p01,p01_single_key_g2_20260312_003047
62488015833,g,press,p01,p01_single_key_g2_20260312_003047
62596396416,g,release,p01,p01_single_key_g2_20260312_003047
63129975458,g,press,p01,p01_single_key_g2_20260312_003047
63233747791,g,release,p01,p01_single_key_g2_20260312_003047
63736840375,g,press,p01,p01_single_key_g2_20260312_003047
63841467416,g,release,p01,p01_single_key_g2_20260312_003047
64419856250,g,press,p01,p01_single_key_g2_20260312_003047
64511684291,g,release,p01,p01_single_key_g2_20260312_003047
65072005833,g,press,p01,p01_single_key_g2_20260312_003047
65171821541,g,release,p01,p01_single_key_g2_20260312_003047
65689831791,g,press,p01,p01_single_key_g2_20260312_003047
65770089916,g,release,p01,p01_single_key_g2_20260312_003047
66291522125,g,press,p01,p01_single_key_g2_20260312_003047
66380123000,g,release,p01,p01_single_key_g2_20260312_003047
66913809875,g,press,p01,p01_single_key_g2_20260312_003047
67026067750,g,release,p01,p01_single_key_g2_20260312_003047
67568803083,g,press,p01,p01_single_key_g2_20260312_003047
67684907416,g,release,p01,p01_single_key_g2_20260312_003047
68194736500,g,press,p01,p01_single_key_g2_20260312_003047
68303574416,g,release,p01,p01_single_key_g2_20260312_003047
68828684041,g,press,p01,p01_single_key_g2_20260312_003047
68948611500,g,release,p01,p01_single_key_g2_20260312_003047
69473666625,g,press,p01,p01_single_key_g2_20260312_003047
69598721541,g,release,p01,p01_single_key_g2_20260312_003047
70028921958,g,press,p01,p01_single_key_g2_20260312_003047
70165540875,g,release,p01,p01_single_key_g2_20260312_003047
70641735500,g,press,p01,p01_single_key_g2_20260312_003047
70782227041,g,release,p01,p01_single_key_g2_20260312_003047
71269942416,g,press,p01,p01_single_key_g2_20260312_003047
71382093833,g,release,p01,p01_single_key_g2_20260312_003047
71922026416,g,press,p01,p01_single_key_g2_20260312_003047
72022663583,g,release,p01,p01_single_key_g2_20260312_003047
72515250125,g,press,p01,p01_single_key_g2_20260312_003047
72618449083,g,release,p01,p01_single_key_g2_20260312_003047
73133595375,g,press,p01,p01_single_key_g2_20260312_003047
73254002666,g,release,p01,p01_single_key_g2_20260312_003047
73789774291,g,press,p01,p01_single_key_g2_20260312_003047
73917840291,g,release,p01,p01_single_key_g2_20260312_003047
74424681958,g,press,p01,p01_single_key_g2_20260312_003047
74548764666,g,release,p01,p01_single_key_g2_20260312_003047
75053763416,g,press,p01,p01_single_key_g2_20260312_003047
75201517666,g,release,p01,p01_single_key_g2_20260312_003047
78645676416,h,press,p01,p01_single_key_g2_20260312_003047
78741305666,h,release,p01,p01_single_key_g2_20260312_003047
79319799500,h,press,p01,p01_single_key_g2_20260312_003047
79424405166,h,release,p01,p01_single_key_g2_20260312_003047
80044570208,h,press,p01,p01_single_key_g2_20260312_003047
80156340583,h,release,p01,p01_single_key_g2_20260312_003047
80754566250,h,press,p01,p01_single_key_g2_20260312_003047
80870807500,h,release,p01,p01_single_key_g2_20260312_003047
81462212958,h,press,p01,p01_single_key_g2_20260312_003047
81583603541,h,release,p01,p01_single_key_g2_20260312_003047
82194493291,h,press,p01,p01_single_key_g2_20260312_003047
82306699583,h,release,p01,p01_single_key_g2_20260312_003047
82922941916,h,press,p01,p01_single_key_g2_20260312_003047
83015584166,h,release,p01,p01_single_key_g2_20260312_003047
83623082833,h,press,p01,p01_single_key_g2_20260312_003047
83717236208,h,release,p01,p01_single_key_g2_20260312_003047
84322196625,h,press,p01,p01_single_key_g2_20260312_003047
84410971416,h,release,p01,p01_single_key_g2_20260312_003047
85098390333,h,press,p01,p01_single_key_g2_20260312_003047
85206947250,h,release,p01,p01_single_key_g2_20260312_003047
85862493625,h,press,p01,p01_single_key_g2_20260312_003047
85983630875,h,release,p01,p01_single_key_g2_20260312_003047
86551325458,h,press,p01,p01_single_key_g2_20260312_003047
86659236333,h,release,p01,p01_single_key_g2_20260312_003047
87272324708,h,press,p01,p01_single_key_g2_20260312_003047
87388765333,h,release,p01,p01_single_key_g2_20260312_003047
88039347250,h,press,p01,p01_single_key_g2_20260312_003047
88135674416,h,release,p01,p01_single_key_g2_20260312_003047
88827596916,h,press,p01,p01_single_key_g2_20260312_003047
88919961583,h,release,p01,p01_single_key_g2_20260312_003047
89579228375,h,press,p01,p01_single_key_g2_20260312_003047
89699057833,h,release,p01,p01_single_key_g2_20260312_003047
90301271583,h,press,p01,p01_single_key_g2_20260312_003047
90417292333,h,release,p01,p01_single_key_g2_20260312_003047
90999467083,h,press,p01,p01_single_key_g2_20260312_003047
91120205625,h,release,p01,p01_single_key_g2_20260312_003047
91702194333,h,press,p01,p01_single_key_g2_20260312_003047
91829947041,h,release,p01,p01_single_key_g2_20260312_003047
