timestamp_ns,key,event_type,participant_id,session_id
11944272291,enter,release,p01,p01_free_type_password_part10_20260315_230900
13675830208,9,press,p01,p01_free_type_password_part10_20260315_230900
13739235458,9,release,p01,p01_free_type_password_part10_20260315_230900
14869291416,t,press,p01,p01_free_type_password_part10_20260315_230900
14929907583,t,release,p01,p01_free_type_password_part10_20260315_230900
16170107250,t,press,p01,p01_free_type_password_part10_20260315_230900
16226325875,t,release,p01,p01_free_type_password_part10_20260315_230900
17347885041,y,press,p01,p01_free_type_password_part10_20260315_230900
17412502666,y,release,p01,p01_free_type_password_part10_20260315_230900
18835844708,e,press,p01,p01_free_type_password_part10_20260315_230900
18896282666,e,release,p01,p01_free_type_password_part10_20260315_230900
19959859458,d,press,p01,p01_free_type_password_part10_20260315_230900
20024148708,d,release,p01,p01_free_type_password_part10_20260315_230900
21099913166,g,press,p01,p01_free_type_password_part10_20260315_230900
21168153875,g,release,p01,p01_free_type_password_part10_20260315_230900
22394960750,m,press,p01,p01_free_type_password_part10_20260315_230900
22459155500,m,release,p01,p01_free_type_password_part10_20260315_230900
23340804375,enter,press,p01,p01_free_type_password_part10_20260315_230900
23373190458,enter,release,p01,p01_free_type_password_part10_20260315_230900
25662389291,7,press,p01,p01_free_type_password_part10_20260315_230900
25739209208,7,release,p01,p01_free_type_password_part10_20260315_230900
27018903500,u,press,p01,p01_free_type_password_part10_20260315_230900
27086919416,u,release,p01,p01_free_type_password_part10_20260315_230900
28169919625,c,press,p01,p01_free_type_password_part10_20260315_230900
28262055875,c,release,p01,p01_free_type_password_part10_20260315_230900
29582741541,0,press,p01,p01_free_type_password_part10_20260315_230900
29647304083,0,release,p01,p01_free_type_password_part10_20260315_230900
30876522666,g,press,p01,p01_free_type_password_part10_20260315_230900
30949592250,g,release,p01,p01_free_type_password_part10_20260315_230900
32185532750,v,press,p01,p01_free_type_password_part10_20260315_230900
32273947958,v,release,p01,p01_free_type_password_part10_20260315_230900
33350748458,d,press,p01,p01_free_type_password_part10_20260315_230900
33438932416,d,release,p01,p01_free_type_password_part10_20260315_230900
34500257666,b,press,p01,p01_free_type_password_part10_20260315_230900
34548934916,b,release,p01,p01_free_type_password_part10_20260315_230900
35723550500,enter,press,p01,p01_free_type_password_part10_20260315_230900
35795842416,enter,release,p01,p01_free_type_password_part10_20260315_230900
38092437250,b,press,p01,p01_free_type_password_part10_20260315_230900
38148686083,b,release,p01,p01_free_type_password_part10_20260315_230900
39951608666,5,press,p01,p01_free_type_password_part10_20260315_230900
40027960166,5,release,p01,p01_free_type_password_part10_20260315_230900
41614322833,s,press,p01,p01_free_type_password_part10_20260315_230900
41702652500,s,release,p01,p01_free_type_password_part10_20260315_230900
42914396833,9,press,p01,p01_free_type_password_part10_20260315_230900
42982948500,9,release,p01,p01_free_type_password_part10_20260315_230900
44800315625,5,press,p01,p01_free_type_password_part10_20260315_230900
44888874208,5,release,p01,p01_free_type_password_part10_20260315_230900
46379415458,e,press,p01,p01_free_type_password_part10_20260315_230900
46451935083,e,release,p01,p01_free_type_password_part10_20260315_230900
47523386375,i,press,p01,p01_free_type_password_part10_20260315_230900
47591548666,i,release,p01,p01_free_type_password_part10_20260315_230900
49075319541,6,press,p01,p01_free_type_password_part10_20260315_230900
49147696708,6,release,p01,p01_free_type_password_part10_20260315_230900
50389322541,enter,press,p01,p01_free_type_password_part10_20260315_230900
50445709916,enter,release,p01,p01_free_type_password_part10_20260315_230900
52857161375,4,press,p01,p01_free_type_password_part10_20260315_230900
52957429083,4,release,p01,p01_free_type_password_part10_20260315_230900
54030428875,i,press,p01,p01_free_type_password_part10_20260315_230900
54110552666,i,release,p01,p01_free_type_password_part10_20260315_230900
55171878750,h,press,p01,p01_free_type_password_part10_20260315_230900
55235465666,h,release,p01,p01_free_type_password_part10_20260315_230900
56343732416,r,press,p01,p01_free_type_password_part10_20260315_230900
56415616500,r,release,p01,p01_free_type_password_part10_20260315_230900
57485175000,i,press,p01,p01_free_type_password_part10_20260315_230900
57549730875,i,release,p01,p01_free_type_password_part10_20260315_230900
