timestamp_ns,key,event_type,participant_id,session_id
9628662833,y,press,p01,p01_single_key_g5_20260312_012949
9712711291,y,release,p01,p01_single_key_g5_20260312_012949
10271007583,y,press,p01,p01_single_key_g5_20260312_012949
10383156375,y,release,p01,p01_single_key_g5_20260312_012949
10977732333,y,press,p01,p01_single_key_g5_20260312_012949
11054113333,y,release,p01,p01_single_key_g5_20260312_012949
11605533083,y,press,p01,p01_single_key_g5_20260312_012949
11694357583,y,release,p01,p01_single_key_g5_20260312_012949
12307319750,y,press,p01,p01_single_key_g5_20260312_012949
12407878708,y,release,p01,p01_single_key_g5_20260312_012949
12972790208,y,press,p01,p01_single_key_g5_20260312_012949
13053226625,y,release,p01,p01_single_key_g5_20260312_012949
13668536250,y,press,p01,p01_single_key_g5_20260312_012949
13741010750,y,release,p01,p01_single_key_g5_20260312_012949
14342707500,y,press,p01,p01_single_key_g5_20260312_012949
14427538500,y,release,p01,p01_single_key_g5_20260312_012949
15025732500,y,press,p01,p01_single_key_g5_20260312_012949
15117622750,y,release,p01,p01_single_key_g5_20260312_012949
15723907333,y,press,p01,p01_single_key_g5_20260312_012949
15824045541,y,release,p01,p01_single_key_g5_20260312_012949
16499810625,y,press,p01,p01_single_key_g5_20260312_012949
16596902833,y,release,p01,p01_single_key_g5_20260312_012949
17241767041,y,press,p01,p01_single_key_g5_20260312_012949
17333981166,y,release,p01,p01_single_key_g5_20260312_012949
17951744458,y,press,p01,p01_single_key_g5_20260312_012949
18051666583,y,release,p01,p01_single_key_g5_20260312_012949
18636417666,y,press,p01,p01_single_key_g5_20260312_012949
18728935458,y,release,p01,p01_single_key_g5_20260312_012949
19327596208,y,press,p01,p01_single_key_g5_20260312_012949
19428004958,y,release,p01,p01_single_key_g5_20260312_012949
20057583625,y,press,p01,p01_single_key_g5_20260312_012949
20165772541,y,release,p01,p01_single_key_g5_20260312_012949
20792706958,y,press,p01,p01_single_key_g5_20260312_012949
20892999166,y,release,p01,p01_single_key_g5_20260312_012949
21543344166,y,press,p01,p01_single_key_g5_20260312_012949
21643521083,y,release,p01,p01_single_key_g5_20260312_012949
22287555041,y,press,p01,p01_single_key_g5_20260312_012949
22383649666,y,release,p01,p01_single_key_g5_20260312_012949
23071689875,y,press,p01,p01_single_key_g5_20260312_012949
23155952083,y,release,p01,p01_single_key_g5_20260312_012949
23849436916,y,press,p01,p01_single_key_g5_20260312_012949
23929461291,y,release,p01,p01_single_key_g5_20260312_012949
24603519791,y,press,p01,p01_single_key_g5_20260312_012949
24683880833,y,release,p01,p01_single_key_g5_20260312_012949
25369134750,y,press,p01,p01_single_key_g5_20260312_012949
25437784208,y,release,p01,p01_single_key_g5_20260312_012949
26147603625,y,press,p01,p01_single_key_g5_20260312_012949
26227100458,y,release,p01,p01_single_key_g5_20260312_012949
26900731666,y,press,p01,p01_single_key_g5_20260312_012949
26980694791,y,release,p01,p01_single_key_g5_20260312_012949
27630444666,y,press,p01,p01_single_key_g5_20260312_012949
27707473375,y,release,p01,p01_single_key_g5_20260312_012949
28362616625,y,press,p01,p01_single_key_g5_20260312_012949
28430809583,y,release,p01,p01_single_key_g5_20260312_012949
29133416291,y,press,p01,p01_single_key_g5_20260312_012949
29226745125,y,release,p01,p01_single_key_g5_20260312_012949
29841409458,y,press,p01,p01_single_key_g5_20260312_012949
29929346708,y,release,p01,p01_single_key_g5_20260312_012949
30624316500,y,press,p01,p01_single_key_g5_20260312_012949
30700635083,y,release,p01,p01_single_key_g5_20260312_012949
31331434791,y,press,p01,p01_single_key_g5_20260312_012949
31418980375,y,release,p01,p01_single_key_g5_20260312_012949
32073926708,y,press,p01,p01_single_key_g5_20260312_012949
32178077750,y,release,p01,p01_single_key_g5_20260312_012949
32820470166,y,press,p01,p01_single_key_g5_20260312_012949
32908641708,y,release,p01,p01_single_key_g5_20260312_012949
33555349333,y,press,p01,p01_single_key_g5_20260312_012949
33639736250,y,release,p01,p01_single_key_g5_20260312_012949
34264101125,y,press,p01,p01_single_key_g5_20260312_012949
34340562166,y,release,p01,p01_single_key_g5_20260312_012949
35009160791,y,press,p01,p01_single_key_g5_20260312_012949
35105602791,y,release,p01,p01_single_key_g5_20260312_012949
35801269625,y,press,p01,p01_single_key_g5_20260312_012949
35889122458,y,release,p01,p01_single_key_g5_20260312_012949
36558516291,y,press,p01,p01_single_key_g5_20260312_012949
36634780500,y,release,p01,p01_single_key_g5_20260312_012949
37362313916,y,press,p01,p01_single_key_g5_20260312_012949
37446509458,y,release,p01,p01_single_key_g5_20260312_012949
38105299625,y,press,p01,p01_single_key_g5_20260312_012949
38184801916,y,release,p01,p01_single_key_g5_20260312_012949
38884740875,y,press,p01,p01_single_key_g5_20260312_012949
38974251250,y,release,p01,p01_single_key_g5_20260312_012949
39680435708,y,press,p01,p01_single_key_g5_20260312_012949
39780599791,y,release,p01,p01_single_key_g5_20260312_012949
40448130000,y,press,p01,p01_single_key_g5_20260312_012949
40540968541,y,release,p01,p01_single_key_g5_20260312_012949
41249260458,y,press,p01,p01_single_key_g5_20260312_012949
41333381041,y,release,p01,p01_single_key_g5_20260312_012949
42055140875,y,press,p01,p01_single_key_g5_20260312_012949
42147661541,y,release,p01,p01_single_key_g5_20260312_012949
42907224000,y,press,p01,p01_single_key_g5_20260312_012949
43007295083,y,release,p01,p01_single_key_g5_20260312_012949
43797096500,y,press,p01,p01_single_key_g5_20260312_012949
43869508833,y,release,p01,p01_single_key_g5_20260312_012949
44621586375,y,press,p01,p01_single_key_g5_20260312_012949
44680947541,y,release,p01,p01_single_key_g5_20260312_012949
45399142166,y,press,p01,p01_single_key_g5_20260312_012949
45478632041,y,release,p01,p01_single_key_g5_20260312_012949
46238051625,y,press,p01,p01_single_key_g5_20260312_012949
46314501375,y,release,p01,p01_single_key_g5_20260312_012949
47065068416,y,press,p01,p01_single_key_g5_20260312_012949
47153499250,y,release,p01,p01_single_key_g5_20260312_012949
47918938291,y,press,p01,p01_single_key_g5_20260312_012949
47999391375,y,release,p01,p01_single_key_g5_20260312_012949
48743908125,y,press,p01,p01_single_key_g5_20260312_012949
48856552125,y,release,p01,p01_single_key_g5_20260312_012949
49588034833,y,press,p01,p01_single_key_g5_20260312_012949
49672061791,y,release,p01,p01_single_key_g5_20260312_012949
50384477208,y,press,p01,p01_single_key_g5_20260312_012949
50472322041,y,release,p01,p01_single_key_g5_20260312_012949
51210696250,y,press,p01,p01_single_key_g5_20260312_012949
51299005958,y,release,p01,p01_single_key_g5_20260312_012949
52004417583,y,press,p01,p01_single_key_g5_20260312_012949
52089175083,y,release,p01,p01_single_key_g5_20260312_012949
52726943166,y,press,p01,p01_single_key_g5_20260312_012949
52802884333,y,release,p01,p01_single_key_g5_20260312_012949
53477446541,y,press,p01,p01_single_key_g5_20260312_012949
53566282791,y,release,p01,p01_single_key_g5_20260312_012949
54303015125,y,press,p01,p01_single_key_g5_20260312_012949
54383263625,y,release,p01,p01_single_key_g5_20260312_012949
55036094500,y,press,p01,p01_single_key_g5_20260312_012949
55124141875,y,release,p01,p01_single_key_g5_20260312_012949
55813307916,y,press,p01,p01_single_key_g5_20260312_012949
55896342583,y,release,p01,p01_single_key_g5_20260312_012949
56541524583,y,press,p01,p01_single_key_g5_20260312_012949
56634069500,y,release,p01,p01_single_key_g5_20260312_012949
57275103125,y,press,p01,p01_single_key_g5_20260312_012949
57359995166,y,release,p01,p01_single_key_g5_20260312_012949
57968810625,y,press,p01,p01_single_key_g5_20260312_012949
58057724833,y,release,p01,p01_single_key_g5_20260312_012949
58741950208,y,press,p01,p01_single_key_g5_20260312_012949
58826366625,y,release,p01,p01_single_key_g5_20260312_012949
59527658458,y,press,p01,p01_single_key_g5_20260312_012949
59612294375,y,release,p01,p01_single_key_g5_20260312_012949
60220557833,y,press,p01,p01_single_key_g5_20260312_012949
60305166166,y,release,p01,p01_single_key_g5_20260312_012949
60999814416,y,press,p01,p01_single_key_g5_20260312_012949
61087496041,y,release,p01,p01_single_key_g5_20260312_012949
61728726708,y,press,p01,p01_single_key_g5_20260312_012949
61817015916,y,release,p01,p01_single_key_g5_20260312_012949
62465277166,y,press,p01,p01_single_key_g5_20260312_012949
62565519750,y,release,p01,p01_single_key_g5_20260312_012949
63170878916,y,press,p01,p01_single_key_g5_20260312_012949
63255311791,y,release,p01,p01_single_key_g5_20260312_012949
63906474250,y,press,p01,p01_single_key_g5_20260312_012949
63982860250,y,release,p01,p01_single_key_g5_20260312_012949
64590503875,y,press,p01,p01_single_key_g5_20260312_012949
64654481416,y,release,p01,p01_single_key_g5_20260312_012949
65311543333,y,press,p01,p01_single_key_g5_20260312_012949
65399993291,y,release,p01,p01_single_key_g5_20260312_012949
65983570416,y,press,p01,p01_single_key_g5_20260312_012949
66068342541,y,release,p01,p01_single_key_g5_20260312_012949
66737517041,y,press,p01,p01_single_key_g5_20260312_012949
66822018875,y,release,p01,p01_single_key_g5_20260312_012949
67524677583,y,press,p01,p01_single_key_g5_20260312_012949
67628320583,y,release,p01,p01_single_key_g5_20260312_012949
68308559291,y,press,p01,p01_single_key_g5_20260312_012949
68381191708,y,release,p01,p01_single_key_g5_20260312_012949
69026704166,y,press,p01,p01_single_key_g5_20260312_012949
69114676416,y,release,p01,p01_single_key_g5_20260312_012949
69762600583,y,press,p01,p01_single_key_g5_20260312_012949
69850409541,y,release,p01,p01_single_key_g5_20260312_012949
70504462000,y,press,p01,p01_single_key_g5_20260312_012949
70576536500,y,release,p01,p01_single_key_g5_20260312_012949
71155586125,y,press,p01,p01_single_key_g5_20260312_012949
71247958583,y,release,p01,p01_single_key_g5_20260312_012949
