timestamp_ns,key,event_type,participant_id,session_id
23024838541,enter,release,p01,p01_free_type_part4_20260314_221128
24777096416,o,press,p01,p01_free_type_part4_20260314_221128
24837469791,o,release,p01,p01_free_type_part4_20260314_221128
25318060708,u,press,p01,p01_free_type_part4_20260314_221128
25394648458,u,release,p01,p01_free_type_part4_20260314_221128
26670149000,r,press,p01,p01_free_type_part4_20260314_221128
26726596541,r,release,p01,p01_free_type_part4_20260314_221128
27342164041,space,press,p01,p01_free_type_part4_20260314_221128
27402496083,space,release,p01,p01_free_type_part4_20260314_221128
28393127708,b,press,p01,p01_free_type_part4_20260314_221128
28469656583,b,release,p01,p01_free_type_part4_20260314_221128
29057870875,a,press,p01,p01_free_type_part4_20260314_221128
29153549375,a,release,p01,p01_free_type_part4_20260314_221128
29544975500,c,press,p01,p01_free_type_part4_20260314_221128
29641338833,c,release,p01,p01_free_type_part4_20260314_221128
30081061916,k,press,p01,p01_free_type_part4_20260314_221128
30156393458,k,release,p01,p01_free_type_part4_20260314_221128
31252931833,u,press,p01,p01_free_type_part4_20260314_221128
31329666625,u,release,p01,p01_free_type_part4_20260314_221128
31675090375,p,press,p01,p01_free_type_part4_20260314_221128
31767536291,p,release,p01,p01_free_type_part4_20260314_221128
32186048958,space,press,p01,p01_free_type_part4_20260314_221128
32258229208,space,release,p01,p01_free_type_part4_20260314_221128
32874975625,w,press,p01,p01_free_type_part4_20260314_221128
32935195791,w,release,p01,p01_free_type_part4_20260314_221128
33970006791,i,press,p01,p01_free_type_part4_20260314_221128
34030377875,i,release,p01,p01_free_type_part4_20260314_221128
34580911750,n,press,p01,p01_free_type_part4_20260314_221128
34641216291,n,release,p01,p01_free_type_part4_20260314_221128
35158156166,d,press,p01,p01_free_type_part4_20260314_221128
35230388666,d,release,p01,p01_free_type_part4_20260314_221128
35751839375,o,press,p01,p01_free_type_part4_20260314_221128
35816148750,o,release,p01,p01_free_type_part4_20260314_221128
36271974583,w,press,p01,p01_free_type_part4_20260314_221128
36344215666,w,release,p01,p01_free_type_part4_20260314_221128
36910783583,space,press,p01,p01_free_type_part4_20260314_221128
36995095041,space,release,p01,p01_free_type_part4_20260314_221128
37545177208,s,press,p01,p01_free_type_part4_20260314_221128
37613458083,s,release,p01,p01_free_type_part4_20260314_221128
38384009500,t,press,p01,p01_free_type_part4_20260314_221128
38452236875,t,release,p01,p01_free_type_part4_20260314_221128
38763071750,a,press,p01,p01_free_type_part4_20260314_221128
38851155250,a,release,p01,p01_free_type_part4_20260314_221128
39396908041,r,press,p01,p01_free_type_part4_20260314_221128
39465344041,r,release,p01,p01_free_type_part4_20260314_221128
40089923958,t,press,p01,p01_free_type_part4_20260314_221128
40150239166,t,release,p01,p01_free_type_part4_20260314_221128
40447848625,s,press,p01,p01_free_type_part4_20260314_221128
40524836333,s,release,p01,p01_free_type_part4_20260314_221128
40924877833,space,press,p01,p01_free_type_part4_20260314_221128
41001215875,space,release,p01,p01_free_type_part4_20260314_221128
41401947875,a,press,p01,p01_free_type_part4_20260314_221128
41458780208,a,release,p01,p01_free_type_part4_20260314_221128
42127095375,t,press,p01,p01_free_type_part4_20260314_221128
42215195666,t,release,p01,p01_free_type_part4_20260314_221128
42617734625,space,press,p01,p01_free_type_part4_20260314_221128
42690065791,space,release,p01,p01_free_type_part4_20260314_221128
43368838875,2,press,p01,p01_free_type_part4_20260314_221128
43445141083,2,release,p01,p01_free_type_part4_20260314_221128
43904888916,space,press,p01,p01_free_type_part4_20260314_221128
43977816625,space,release,p01,p01_free_type_part4_20260314_221128
44359954125,a,press,p01,p01_free_type_part4_20260314_221128
44443075791,a,release,p01,p01_free_type_part4_20260314_221128
44872837125,m,press,p01,p01_free_type_part4_20260314_221128
44969148875,m,release,p01,p01_free_type_part4_20260314_221128
45405715166,space,press,p01,p01_free_type_part4_20260314_221128
45481902041,space,release,p01,p01_free_type_part4_20260314_221128
